Algorithm   Array size    FLOPS
     1         256  	 1.33E+08
     1         512  	 6.11E+07
     1         768  	 1.14E+08
     1         1024  	 5.88E+07
     1         1280  	 1.28E+08
     1         1536  	 5.90E+07
     1         1792  	 1.29E+08
     1         2048  	 5.43E+07
     2         256  	 1.68E+09
     2         512  	 1.46E+09
     2         768  	 1.29E+09
     2         1024  	 9.21E+08
     2         1280  	 9.18E+08
     2         1536  	 9.01E+08
     2         1792  	 9.37E+08
     2         2048  	 9.15E+08
