Clock frequency is approx. 3625.4 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	4960.6	3306.1	1792.4	1993.6	1428.3	1462.0	1340.7	1242.7	1117.4	1106.0	1092.5	1112.5	1077.9	1094.3	1123.8	1239.3	1019.9	1154.8	1092.5	1208.5	1197.6	1232.0	1198.9	1205.8	1214.8	1116.6	1229.4	1203.5	1218.4	1278.4	1348.2	1093.7	1424.8	1391.8	1484.2	1509.1	1394.3	1415.4	1491.3	1592.6	1474.8	1556.4	1446.1	1446.6	1341.2	1370.5	1490.9	1168.4	1543.4	1426.7	1434.0	1405.3	1348.0	1420.9	1700.6	1608.0	1598.6	1591.8	1589.2	1580.2	1582.8	1583.9	1569.8	1105.5	
16m	4920.3	3353.1	1799.9	1840.8	1488.2	1467.3	1405.7	1371.4	1179.4	1245.0	1338.3	1368.3	1457.7	1459.7	1445.9	1252.6	1437.2	1508.7	1498.2	1525.2	1438.6	1388.4	1409.1	1695.9	1527.4	1464.0	1504.6	1451.0	1432.1	1422.3	1458.2	1153.5	1503.7	1475.2	1436.7	1433.0	1433.8	1495.4	1478.3	1621.1	1500.4	1443.4	1399.5	1378.5	1505.8	1388.5	1423.4	1592.5	1621.6	1551.0	1475.9	1457.3	1478.1	1540.4	2277.5	1269.3	1260.8	1261.5	1960.0	1984.4	2043.7	2100.1	2086.2	1108.3	
8m	5104.7	3588.2	2050.3	2449.0	2233.2	1951.6	1788.0	1648.6	1720.3	1711.4	1740.5	1738.0	1714.3	1684.3	1623.3	1588.9	1610.0	1573.5	1557.2	1556.1	1785.4	1528.6	1558.0	1757.7	1887.7	1507.9	1506.8	1546.4	1565.9	1573.6	1742.5	1554.4	2286.7	2260.2	2265.9	2676.3	2553.8	2717.9	2867.7	3044.0	3112.0	3223.6	3134.8	3287.5	3257.1	3324.5	3484.6	1723.1	3370.4	3423.0	3583.6	3503.7	3550.3	3729.4	3569.4	3744.1	3678.6	3708.7	3747.9	3743.2	3740.3	3874.0	3866.7	1616.3	
4m	5647.3	5174.2	2816.7	3002.3	2470.3	2440.5	2118.3	1852.9	1837.1	1813.3	1854.2	1907.9	2215.9	2088.7	2310.5	1825.5	2774.1	3062.0	3238.2	3597.0	3708.2	3936.8	4016.8	4366.4	4458.6	4853.6	4786.7	4863.3	4960.8	5019.8	4972.8	1745.5	5028.7	5025.8	5121.8	5144.4	5068.1	4971.1	4879.9	4939.4	4958.7	4914.5	4876.4	4859.1	4940.7	4924.6	4877.0	4211.0	4876.9	4842.3	4852.0	4802.1	4813.2	4824.7	4843.9	4827.3	4804.2	4792.8	4732.2	4851.6	4831.6	4680.9	4634.6	1402.6	
2m	5763.9	5129.7	3503.3	3330.4	3220.7	3108.4	2787.8	2490.0	3080.2	3750.2	3926.4	4893.5	5237.0	5197.7	5399.1	2739.6	5479.0	5397.3	5294.3	5343.8	5358.1	5307.7	5320.2	5413.0	5331.7	5311.6	5288.6	5291.3	5318.5	5281.5	5269.5	2691.2	5262.1	5214.5	5219.9	5407.1	5190.1	5223.3	5187.9	5100.4	5108.8	5056.5	4805.6	4741.6	4865.9	4669.5	4811.4	4758.7	4758.4	4951.3	4908.3	4880.9	4904.7	4903.3	4912.2	4916.2	4912.0	4893.5	4871.1	4856.1	4856.8	4847.7	4795.6	2304.0	
1024k	5931.4	5907.9	5783.6	5748.3	5619.5	5553.7	5492.4	5332.9	5305.0	5215.2	5284.5	5390.6	5063.4	5091.7	5084.5	5133.7	4988.0	4927.6	4900.7	4878.7	4868.9	4849.5	4815.3	4817.3	4723.2	4799.8	4754.5	4712.6	4679.0	4693.8	4745.9	4726.7	4663.1	4699.7	4664.3	4651.6	4632.5	4579.3	4556.9	4502.6	4483.1	4503.0	4419.3	4476.3	4381.9	4350.2	4363.0	4364.4	4303.0	4284.2	4257.8	4165.1	4181.7	4144.7	4244.0	4152.3	4166.4	4037.7	4134.1	4098.1	4134.9	4116.8	4078.7	4039.9	
512k	5874.2	5764.5	5512.0	5500.3	5420.0	5287.0	5164.9	4974.9	5154.5	5233.5	5091.9	5103.2	4985.6	4926.2	4917.7	4814.2	4753.5	4709.7	4752.4	4647.9	4776.8	4696.2	4704.6	4670.1	4673.7	4627.6	4612.3	4576.4	4523.7	4531.6	4488.4	4479.5	4417.9	4387.7	4356.2	4433.7	4289.9	4315.3	4231.6	4171.5	4155.4	4102.2	4093.8	4088.2	4045.9	4020.5	4002.1	3976.3	3934.3	3925.2	3700.6	3661.3	3583.3	3540.8	3519.8	3565.9	3513.8	3495.4	3471.4	3440.3	3395.1	3370.7	3415.6	3259.3	
256k	5721.4	5637.2	5506.5	5359.5	5251.7	5029.8	4912.0	4742.9	4688.2	4611.8	4546.0	4425.4	4331.7	4278.4	4252.7	4247.6	4139.1	4051.6	4067.9	3923.2	3794.4	3763.4	3714.7	3652.1	3811.1	3738.1	3731.0	3678.4	3636.6	3622.9	3594.8	3590.3	3510.0	3488.3	3430.7	3423.2	3337.5	3301.4	3302.1	3246.8	3213.7	3165.3	3117.1	3095.8	3001.0	3018.3	2955.1	2958.9	2879.3	2773.9	2768.4	2797.8	2764.6	2738.1	2794.1	2735.4	2765.9	2717.4	2672.1	2701.1	2655.7	2651.5	2605.8	2675.1	
128k	5672.1	5449.0	5238.0	5057.1	4845.0	4695.6	4545.7	4439.0	4304.6	4199.2	4130.8	4010.6	3883.4	3769.1	3713.3	3653.9	3523.9	3409.9	3364.0	3303.7	3234.1	3176.4	3094.7	3038.9	3127.7	3049.5	3003.0	2961.7	2869.2	2843.7	2804.8	2837.1	2732.3	2670.2	2652.1	2598.7	2551.4	2537.3	2488.0	2430.3	2410.9	2378.3	2352.1	2319.8	2277.2	2261.6	2231.7	2233.6	2169.2	2140.1	2156.8	2089.2	2094.3	2044.3	2057.5	2017.0	2003.5	1981.1	1956.7	1930.7	1923.7	1918.9	1886.6	1875.9	
64k	5589.7	5277.2	4963.7	4715.3	4498.5	4271.0	4065.2	3913.4	3722.0	3581.1	3436.2	3307.4	3186.1	3098.5	2957.8	2871.1	2804.7	2717.0	2641.9	2572.4	2433.6	2425.1	2349.6	2258.1	2238.9	2186.2	2177.4	2090.0	2045.4	2008.1	1967.7	1922.0	1877.5	1857.5	1825.4	1798.4	1750.4	1737.1	1703.7	1684.6	1647.7	1649.3	1571.9	1557.9	1548.0	1538.3	1507.2	1465.4	1451.7	1440.9	1399.0	1402.1	1352.9	1345.6	1338.0	1314.0	1282.1	1292.8	1247.8	1226.4	1236.1	1203.5	1198.5	1172.6	
32k	5275.1	4730.6	4285.3	3919.1	3597.9	3334.1	3108.7	2895.2	2729.3	2569.0	2432.7	2313.5	2197.2	2095.7	2015.2	1949.8	1870.9	1796.9	1740.5	1671.4	1634.6	1574.3	1520.6	1485.6	1418.1	1407.3	1353.9	1332.6	1276.3	1237.5	1209.2	1181.2	1141.3	1112.6	1103.5	1089.5	1053.7	1035.5	1015.1	1000.7	959.5	958.9	944.5	923.1	904.8	884.9	872.8	843.0	842.9	826.2	805.6	801.7	773.4	768.7	757.1	751.3	728.6	729.0	708.0	708.0	696.5	675.7	674.7	652.4	
16k	4730.3	3920.7	3346.5	2923.1	2585.3	2314.6	2108.7	1931.0	1810.2	1691.4	1568.3	1487.0	1403.8	1331.3	1249.7	1171.1	1138.3	1087.4	1027.6	1002.1	957.9	923.4	888.9	855.8	828.5	801.1	766.3	751.0	727.4	705.9	684.6	654.3	646.6	627.3	615.4	600.7	584.6	571.7	559.4	545.1	534.2	523.1	513.3	501.9	490.9	481.0	472.0	463.2	451.8	444.3	433.9	429.2	420.8	413.9	404.6	400.2	390.1	386.5	381.4	375.3	369.0	363.5	359.1	346.4	
8k	3985.9	2996.3	2395.8	1995.4	1713.3	1499.1	1333.0	1200.3	1093.1	999.7	924.4	855.8	802.5	749.1	705.9	665.1	628.2	600.7	573.4	546.1	524.2	501.9	482.3	463.5	444.5	429.3	414.4	399.9	387.4	375.2	363.9	353.3	342.5	331.3	324.3	315.6	307.7	299.7	292.5	286.0	279.0	273.0	266.8	261.8	256.1	250.2	245.2	240.2	235.9	229.8	225.1	222.3	217.9	214.5	209.7	207.0	203.2	200.5	196.0	193.0	190.4	187.9	185.0	182.4	
4k	2998.7	2005.6	1504.1	1201.4	999.4	860.0	752.3	670.6	601.8	546.7	499.9	463.9	428.8	400.2	376.5	355.5	332.3	316.9	299.7	286.0	273.8	262.0	250.9	240.1	230.0	222.0	214.4	206.7	200.4	193.4	187.4	182.8	176.3	171.1	166.9	161.5	156.9	153.1	149.9	146.6	143.1	140.2	136.5	135.3	131.9	128.8	126.0	123.6	120.6	117.7	116.0	113.4	112.1	109.1	107.7	106.3	103.7	101.8	100.5	99.0	97.6	96.1	94.6	92.7	
2k	1998.0	1201.8	855.8	667.7	545.5	461.8	399.6	354.1	315.6	285.4	260.9	239.8	222.0	206.9	193.3	182.4	170.8	161.1	153.1	147.0	140.3	133.7	129.0	123.4	117.8	113.5	109.1	106.1	102.0	99.3	96.2	92.6	90.4	87.7	84.5	81.6	80.4	77.4	76.1	74.8	71.8	70.3	68.8	67.4	66.1	64.4	62.9	61.6	60.0	58.8	58.6	56.7	55.7	54.4	54.3	52.9	51.3	51.4	50.0	50.1	48.3	48.4	47.1	47.1	
